FL_DATE,CARRIER,CARRIER_NAME,FL_NUM,ORIGIN_AIRPORT,ORIGIN_CITY_NAME,DEST_AIRPORT,DEST_CITY_NAME,DEP_TIME,ARR_TIME,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/4/2017,OO,SkyWest Airlines Inc.,5122,Chicago O'Hare International,"Chicago, IL",MBS International,"Saginaw/Bay City/Midland, MI",1733,1936,0,,44,222,16,0,0,0,0
1/4/2017,OO,SkyWest Airlines Inc.,5136,Chicago O'Hare International,"Chicago, IL",Asheville Regional,"Asheville, NC",1337,1615,0,,73,536,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5141,Chicago O'Hare International,"Chicago, IL",Houghton County Memorial,"Hancock/Houghton, MI",1048,,1,B,,360,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5142,Chicago O'Hare International,"Chicago, IL",Duluth International,"Duluth, MN",2102,2226,0,,65,397,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5143,Chicago O'Hare International,"Chicago, IL",Chippewa Valley Regional,"Eau Claire, WI",1919,2029,0,,51,269,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5145,Chicago O'Hare International,"Chicago, IL",Muskegon County,"Muskegon, MI",,,1,B,,118,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5146,Chicago O'Hare International,"Chicago, IL",Abraham Lincoln Capital,"Springfield, IL",1539,1633,0,,36,174,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5168,Chicago O'Hare International,"Chicago, IL",Duluth International,"Duluth, MN",1216,1401,0,,70,397,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5185,Chicago O'Hare International,"Chicago, IL",Lincoln Airport,"Lincoln, NE",1213,1406,0,,79,466,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5187,Chicago O'Hare International,"Chicago, IL",Charlotte Douglas International,"Charlotte, NC",1326,1639,0,,84,599,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5199,Chicago O'Hare International,"Chicago, IL",City of Colorado Springs Municipal,"Colorado Springs, CO",1929,2135,0,,147,911,0,0,11,0,4
1/4/2017,OO,SkyWest Airlines Inc.,5200,Chicago O'Hare International,"Chicago, IL",South Bend International,"South Bend, IN",1816,1958,0,,20,84,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5202,Chicago O'Hare International,"Chicago, IL",Cherry Capital,"Traverse City, MI",1528,1730,0,,47,224,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5217,Chicago O'Hare International,"Chicago, IL",Quad City International,"Moline, IL",2055,2139,0,,28,139,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5225,Chicago O'Hare International,"Chicago, IL",Indianapolis International,"Indianapolis, IN",1645,1844,0,,31,177,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5230,Chicago O'Hare International,"Chicago, IL",Raleigh-Durham International,"Raleigh/Durham, NC",2051,2338,0,,89,646,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5238,Chicago O'Hare International,"Chicago, IL",Nashville International,"Nashville, TN",1421,1547,0,,64,409,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5240,Chicago O'Hare International,"Chicago, IL",Buffalo Niagara International,"Buffalo, NY",1826,2050,0,,64,474,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5272,Chicago O'Hare International,"Chicago, IL",Minneapolis-St Paul International,"Minneapolis, MN",735,918,0,,75,334,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5277,Chicago O'Hare International,"Chicago, IL",Eppley Airfield,"Omaha, NE",1558,1740,0,,78,416,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5280,Chicago O'Hare International,"Chicago, IL",Buffalo Niagara International,"Buffalo, NY",1427,1655,0,,71,474,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5305,Chicago O'Hare International,"Chicago, IL",LaGuardia,"New York, NY",957,1249,0,,94,733,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5364,Chicago O'Hare International,"Chicago, IL",LaGuardia,"New York, NY",1201,1501,0,,93,733,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5365,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",2047,2145,0,,22,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5369,Chicago O'Hare International,"Chicago, IL",General Mitchell International,"Milwaukee, WI",1609,1654,0,,20,67,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5393,Chicago O'Hare International,"Chicago, IL",Ronald Reagan Washington National,"Washington, DC",1354,1643,0,,87,612,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5428,Chicago O'Hare International,"Chicago, IL",Hartsfield-Jackson Atlanta International,"Atlanta, GA",602,857,0,,93,606,,,,,
1/4/2017,OO,SkyWest Airlines Inc.,5433,Chicago O'Hare International,"Chicago, IL",Salt Lake City International,"Salt Lake City, UT",1923,2313,0,,222,1250,1,0,66,0,2
