"Pl_HostName","Pl_Letter","Pl_Name","Pl_DiscoveryMethod","Pl_DiscoveryYear","Pl_OrbitalPeriod","Pl_SemiMajorAxis","Pl_Eccentricity","Pl_MassEarth","Pl_RadiusEarth","Pl_Density","Pl_EquilibriumTemp","Pl_InsolationFlux","Pl_NumStars","St_Distance","St_OpticalMagnitude","St_SpectralType","St_EffectiveTemp","St_SurfaceGravity","St_Luminosity","St_MassSolar","St_RadiusSolar","St_Metallicity","St_MetallicityRatio","St_Age"
"KELT-3","b","KELT-3 b","Transit",2013,2.70339,0.04122,0,616.5902,17.486,0.75,1816,NA,1,178,9.873,"",6304,4.2,0.608,1.96,1.7,0.05,"[Fe/H]",3
"KELT-4 A","b","KELT-4 A b","Transit",2016,2.9895932,0.04317,0,286.68266,19.044,0.228,1823,NA,3,210,9.98,"F",6206,4.11,0.535,1.2,1.6,-0.116,"[Fe/H]",4.44
"KELT-6","b","KELT-6 b","Transit",2014,7.8457,0.07939,0.22,165.2716,14.572,0.311,1313,NA,1,222,10.418,"F8",6102,4.07,0.555,1.42,1.73,-0.28,"[Fe/H]",6.1
"KELT-6","c","KELT-6 c","Radial Velocity",2015,1276,2.39,0.21,1179.1493,13,2.95,NA,NA,1,222,10.418,"F8",6102,4.07,0.555,1.42,1.73,-0.28,"[Fe/H]",6.1
"KELT-7","b","KELT-7 b","Transit",2015,2.73477,0.04415,0,441.7837,17.934,0.442,2048,NA,1,129,8.54,"F",6768,4.5,0.757,1.76,1.81,0,"[Fe/H]",1.3
"KELT-8","b","KELT-8 b","Transit",2015,3.24406,0.04571,0.04,209.7678,18.159,0.167,1675,NA,1,236,10.833,"G2 V",5754,4.08,0.213,0.81,1.46,0.27,"[Fe/H]",5.4
"KELT-9","b","KELT-9 b","Transit",2017,1.4811235,0.03462,0,915.3504,21.196,0.53,4050,44900,1,188.7,7.55,"B9.5-A0",10170,4.09,1.724,2.52,2.36,-0.03,"[Fe/H]",0.3
"KIC 10001893","b","KIC 10001893 b","Orbital Brightness Modulation",2014,0.2197,NA,NA,NA,NA,NA,NA,NA,1,1758.47,15.711,"",27500,5.35,3.54,NA,2.58,-0.093,"[Fe/H]",NA
"KIC 10001893","c","KIC 10001893 c","Orbital Brightness Modulation",2014,0.32528,NA,NA,NA,NA,NA,NA,NA,1,1758.47,15.711,"",27500,5.35,3.54,NA,2.58,-0.093,"[Fe/H]",NA
"KIC 10001893","d","KIC 10001893 d","Orbital Brightness Modulation",2014,0.81161,NA,NA,NA,NA,NA,NA,NA,1,1758.47,15.711,"",27500,5.35,3.54,NA,2.58,-0.093,"[Fe/H]",NA
"KIC 10525077","b","KIC 10525077 b","Transit",2015,854.083,NA,NA,25.9,5.5,0.855,NA,NA,1,1464.12,15.304,"",6091,4.42,0.129,1.01,1.01,-0.04,"[Fe/H]",NA
"KIC 3558849","b","KIC 3558849 b","Transit",2015,1322.3,NA,NA,38.1,6.9,0.637,NA,NA,1,1215.64,14.167,"",6175,4.44,0.405,0.98,1.01,-0.42,"[Fe/H]",NA
"KIC 5437945","b","KIC 5437945 b","Transit",2015,440.7813,NA,NA,33.6,6.4,0.704,NA,NA,1,848,13.751,"",6340,4.16,0.612,1.07,1.24,-0.38,"[Fe/H]",3.16
"KIC 5951458","b","KIC 5951458 b","Transit",2015,1320.1,NA,NA,35.4,6.6,0.677,NA,NA,1,742.54,12.688,"",6258,4.08,0.556,0.98,1.52,-0.5,"[Fe/H]",NA
"KIC 7917485","b","KIC 7917485 b","Pulsation Timing Variations",2016,840,NA,0.15,3750.394,12.4,10.8,NA,NA,1,1382.51,13.2,"A",7067,4,0.996,1.63,2.01,-0.02,"[Fe/H]",NA
"KOI-7892","b","KIC 8540376 b","Transit",2015,31.8099,NA,NA,15.8,4.1,1.26,NA,NA,1,1072.12,14.217,"",6474,4.31,0.265,1.04,1.26,-0.16,"[Fe/H]",NA
"KOI-7892","c","KIC 8540376 c","Transit",2015,75.2,NA,NA,6.35,2.4,2.52,NA,NA,1,1072.12,14.217,"",6474,4.31,0.265,1.04,1.26,-0.16,"[Fe/H]",NA
